date,open,close,high,low,volume,adjClose
2000-01-03,104.87,111.94,112.5,101.69,4783900,3.5964636273
2000-01-04,108.25,102.5,110.62,101.19,4574800,3.2931706431
2000-01-05,103.75,104.0,110.56,103.0,6949300,3.3413633843
2000-01-06,106.12,95.0,107.0,95.0,6856900,3.0522069375
2000-01-07,96.5,99.5,101.0,95.5,4113700,3.1967851609
2000-01-10,102.0,97.75,102.25,94.75,4509500,3.1405602963
2000-01-11,95.94,92.75,99.37,90.5,3942400,2.9799178259
2000-01-12,95.0,87.19,95.5,86.5,8714900,2.8012833988
2000-01-13,94.48,96.75,98.75,92.5,9220400,3.1084318022
2000-01-14,100.0,100.44,102.25,99.37,3485500,3.2269859453
2000-01-18,101.0,103.94,106.0,100.44,4099800,3.3394356746
2000-01-19,105.62,106.56,108.75,103.37,5336100,3.4236123291
2000-01-20,115.5,113.5,121.5,113.5,16349400,3.646584078
2000-01-21,114.25,111.31,114.25,110.19,4427900,3.576222676
2000-01-24,108.44,106.25,112.75,105.12,3936400,3.4136524959
2000-01-25,105.0,112.25,113.12,102.37,4438800,3.6064234604000003
2000-01-26,110.0,110.19,114.19,109.75,3278200,3.5402387626
2000-01-27,108.81,110.0,113.0,107.0,3037000,3.5341343487
2000-01-28,108.19,101.62,110.87,100.62,3779900,3.2648975684
2000-01-31,101.0,103.75,103.87,94.5,6265000,3.3333312607
2000-02-01,104.0,100.25,105.0,100.0,2839600,3.2208815315
2000-02-02,100.75,98.81,102.12,97.0,4144600,3.1746165
2000-02-03,100.31,103.31,104.25,100.25,4242800,3.3191947233
2000-02-04,103.94,108.0,110.0,103.62,3797500,3.4698773606
2000-02-07,108.0,114.06,114.25,105.94,3938100,3.6645760347
2000-02-08,114.0,114.87,116.12,111.25,3648600,3.6906001149
2000-02-09,114.12,112.62,117.12,112.44,2672900,3.6183110032
2000-02-10,112.87,113.5,113.87,110.0,2705200,3.646584078
2000-02-11,113.62,108.75,114.12,108.25,1895100,3.4939737311
2000-02-14,109.31,115.81,115.87,108.62,3281600,3.7208008993
2000-02-15,115.25,119.0,119.94,115.19,4337000,3.8232907955
2000-02-16,117.75,114.12,118.12,112.12,3377200,3.6665037443
2000-02-17,115.19,114.87,115.5,113.12,2584800,3.6906001149
2000-02-18,114.62,111.25,115.37,110.87,2084300,3.5742949663
2000-02-22,110.12,113.81,116.94,106.69,3770500,3.6565439112
2000-02-23,113.23,116.25,119.0,111.0,4224100,3.7349374367
2000-02-24,117.31,115.2,119.12,111.75,3361000,3.701202518
2000-02-25,114.81,110.37,117.0,110.12,2224500,3.5460218915
2000-02-28,110.12,113.25,115.0,108.37,2931500,3.6385519545
2000-02-29,113.56,114.62,117.25,112.56,3294300,3.6825679914
2000-03-01,118.56,130.31,132.06,118.5,9616100,4.1866640635
2000-03-02,127.0,122.0,127.94,120.69,2779100,3.9196762777
2000-03-03,124.87,128.0,128.23,120.0,2887200,4.1124472422
2000-03-06,126.0,125.69,129.13,125.0,1880000,4.0382304208
2000-03-07,126.44,122.87,127.44,121.12,2437600,3.9476280675
2000-03-08,122.87,122.0,123.94,118.56,2421700,3.9196762777
2000-03-09,120.87,122.25,125.0,118.25,2470700,3.9277084012000003
2000-03-10,121.69,125.75,127.94,121.0,2219700,4.0401581305
2000-03-13,122.12,121.31,126.5,119.5,2713900,3.8975076168
2000-03-14,121.22,114.25,124.25,114.0,3826600,3.6706804485999998
2000-03-15,115.62,116.25,120.25,114.12,3960800,3.7349374367
2000-03-16,117.31,121.56,122.0,114.5,3375900,3.9055397403
2000-03-17,120.12,125.0,125.0,119.62,2723600,4.0160617599
2000-03-20,123.5,123.0,126.25,122.37,1825800,3.9518047718
2000-03-21,122.56,134.94,136.75,121.62,4681500,4.3354189911
2000-03-22,132.78,144.19,144.38,131.56,5071400,4.6326075613
2000-03-23,142.0,141.31,150.38,140.0,5022900,4.5400774984
2000-03-24,142.44,138.69,143.94,135.5,3990300,4.4559008439
2000-03-27,137.63,139.56,144.75,136.88,2492700,4.4838526337
2000-03-28,137.25,139.13,142.0,137.13,1812200,4.4700373813
2000-03-29,139.38,135.94,139.44,133.83,2141400,4.3675474852
2000-03-30,133.56,125.75,137.69,125.44,3700000,4.0401581305
2000-03-31,127.44,135.81,137.25,126.0,3612800,4.3633707809
2000-04-03,135.5,133.31,139.5,129.44,2933600,4.2830495457
2000-04-04,132.63,127.31,133.0,116.75,5895800,4.0902785813
2000-04-05,126.47,130.38,132.88,124.0,4086300,4.1889130581
2000-04-06,130.63,125.19,134.5,123.25,2318100,4.0221661738
2000-04-07,127.25,131.75,131.88,125.5,2164600,4.232929095
2000-04-10,131.69,125.0,132.75,124.75,1895200,4.0160617599
2000-04-11,123.5,119.44,124.87,118.06,4837700,3.8374273328
2000-04-12,119.0,109.25,119.0,104.87,8403000,3.5100379781999997
2000-04-13,111.5,113.81,120.0,108.5,4730600,3.6565439112
2000-04-14,109.31,111.87,118.0,109.0,5960900,3.5942146327
2000-04-17,109.5,123.87,123.94,109.06,3656800,3.9797565616
2000-04-18,123.5,126.87,126.87,119.37,3490400,4.0761420439
2000-04-19,126.19,121.12,130.25,119.75,4644200,3.8914032029000003
2000-04-20,123.69,118.87,124.75,117.06,6447500,3.8191140912
2000-04-24,115.0,120.5,120.5,114.75,3960900,3.8714835366
2000-04-25,122.12,128.31,128.75,122.06,3496800,4.1224070753
2000-04-26,126.62,121.31,128.0,120.0,3276000,3.8975076168
2000-04-27,117.19,126.75,127.0,116.58,2916100,4.0722866246
2000-04-28,127.12,124.06,127.5,121.31,2228400,3.9858609755
