date,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2007-12-19,63.2822884545,63.3260824257,63.2134693568,63.3260824257,47900
2007-12-20,63.3823889602,63.3823889602,63.3511075522,63.3511075522,1500
2007-12-21,63.5012583107,63.5262834372,63.2072130752,63.2822884545,23500
2007-12-24,63.3949015234,63.3949015234,63.3949015234,63.3949015234,100
2007-12-26,63.369876397,63.4449517763,63.369876397,63.4449517763,400
2007-12-27,63.3448512706,63.3448512706,63.2510070465,63.2948010177,1300
2007-12-28,63.3135698625,63.3198261441,63.2948010177,63.3198261441,2900
2007-12-31,63.4199266499,63.4386954947,63.4074140866,63.4074140866,1600
2008-01-02,63.2822884545,63.5200271556,63.2822884545,63.4950020291,7600
2008-01-03,63.6701779141,63.6701779141,63.6076150981,63.6076150981,2300
2008-01-04,63.6514090693,63.6514090693,63.6006080627,63.6388965061,1800
2008-01-07,63.7264844486,63.7827909831,63.6201276613,63.7827909831,11000
2008-01-08,63.8015598279,63.9579668681,63.338594989,63.9371960131,45700
2008-01-09,63.9517105864,63.9517105864,63.8891477704,63.8891477704,1400
2008-01-10,63.8703789256,63.9454543048,63.8703789256,63.9454543048,300
2008-01-11,63.8265849543,63.8578663623,63.7127206291,63.7127206291,1800
2008-01-14,63.9329417416,63.9329417416,63.8766352072,63.9329417416,13100
2008-01-15,64.0392985289,64.0392985289,63.9767357129,64.0392985289,104100
2008-01-16,64.0267859657,64.1268864714,63.8841427451,64.1268864714,3100
2008-01-17,64.0330422473,64.1143739082,64.000509583,64.070579937,45700
2008-01-18,63.9642231497,64.1143739082,63.8441025428,64.1081176266,4300
2008-01-22,63.8015598279,63.8203286727,63.5325397188,63.8015598279,6000
2008-01-23,63.8390975175,63.9704794313,63.751509575,63.8140723911,12000
2008-01-24,63.8140723911,63.9829919945,63.6639216325,63.8265849543,26900
2008-01-25,63.8516100807,63.9704794313,63.8516100807,63.9254342037,1400
2008-01-28,63.9016603336,63.9016603336,63.8828914888,63.9015977708,2000
2008-01-29,63.9517105864,63.9517105864,63.7953035463,63.7953035463,1200
2008-01-30,63.7452532934,63.9892482761,63.7452532934,63.9892482761,2400
2008-01-31,64.0205296841,64.0205296841,63.9079166152,64.0080171209,600
2008-02-01,63.7827909831,63.9892482761,63.5387960004,63.7139718854,7300
2008-02-04,63.7389970118,63.7389970118,63.7389970118,63.7389970118,1100
2008-02-05,63.7014593222,63.7765347014,63.5012583107,63.5951025348,11600
2008-02-06,63.6138713797,63.6201276613,63.5951025348,63.6201276613,1900
2008-02-07,63.3636201154,63.5075145923,63.2072130752,63.3949015234,11200
2008-02-08,63.019524627,63.1509065408,63.0007557822,63.1509065408,7300
2008-02-11,63.1509065408,63.194700512,63.0257809086,63.1196251327,4300
2008-02-12,63.1383939775,63.1383939775,62.9757306558,63.1383939775,3300
2008-02-13,63.1133688511,63.2572633281,63.1133688511,63.2572633281,3200
2008-02-14,63.2760321729,63.2760321729,63.2009567936,63.2497557901,3500
2008-02-15,63.2885447361,63.369876397,63.2134693568,63.369876397,900
2008-02-19,62.9319366845,63.0758311615,62.8943989949,62.8943989949,2200
2008-02-20,62.8943989949,62.8943989949,62.8943989949,62.8943989949,0
2008-02-21,62.9256804029,62.9569618109,62.7505045179,62.8255798972,1600
2008-02-22,63.0570623166,63.0570623166,63.0570623166,63.0570623166,1700
2008-02-25,63.1008562879,63.1383939775,63.1007937251,63.1383939775,2100
2008-02-26,63.2009567936,63.2009567936,63.0946000063,63.1946379492,1100
2008-02-27,63.2885447361,63.3511075522,63.2885447361,63.3198261441,20600
2008-02-28,63.2572633281,63.2635196097,63.2560120717,63.2635196097,214200
2008-02-29,63.4324392131,63.4574643395,63.3573638338,63.4512080579,3000
2008-03-03,63.22598192,63.22598192,63.019524627,63.194700512,3500
2008-03-04,63.0382934718,63.194700512,62.988243219,63.1133688511,4100
2008-03-05,63.1821879488,63.2009567936,63.1258814143,63.2009567936,3400
2008-03-06,63.2072130752,63.2072130752,63.1071125695,63.1071125695,900
2008-03-07,63.0633185983,63.0633185983,63.0007557822,63.0445497534,3600
2008-03-10,63.0633185983,63.0633185983,63.050806035,63.050806035,1300
2008-03-11,62.9944995006,62.9944995006,62.9069115581,62.9944995006,1500
2008-03-12,63.0758311615,63.0758311615,63.0257809086,63.0257809086,5500
2008-03-13,63.050806035,63.0820874431,62.8068110524,62.87563015,6000
2008-03-14,63.0820874431,63.1509065408,62.9944995006,63.1509065408,7000
2008-03-17,62.9381929661,63.019524627,62.8943989949,63.019524627,700
2008-03-18,62.9131678397,63.3323387074,62.8943989949,63.3323387074,6600
2008-03-19,63.3761326786,63.4074140866,63.194700512,63.4074140866,2100
2008-03-20,63.1321376959,63.3949015234,63.1321376959,63.3949015234,2100
2008-03-24,63.3823889602,63.4074140866,63.1759316672,63.4074140866,4300
2008-03-25,63.2510070465,63.4324392131,63.2510070465,63.2822884545,5400
2008-03-26,63.3886452418,63.4074140866,63.3135698625,63.4074140866,7400
2008-03-27,63.2009567936,63.3823889602,63.2009567936,63.3823889602,2200
2008-03-28,63.3260824257,63.3260824257,63.0695748799,63.2635196097,3900
2008-03-31,63.3010572993,63.3010572993,63.2384944832,63.2447507649,2300
2008-04-01,63.0257809086,63.1321376959,62.87563015,62.8881427133,19500
2008-04-02,63.1133688511,63.1133688511,62.8943989949,63.0820874431,1800
2008-04-03,63.4258704497,63.4258704497,63.2498969685,63.4195856825,3700
2008-04-04,63.6332677669,63.6332677669,63.6081286981,63.6206982325,2900
2008-04-07,63.7841021793,63.7903869465,63.7463935762,63.7903869465,1600
2008-04-08,63.771532645,63.8092412481,63.6269829997,63.8092412481,3400
2008-04-09,63.8343803168,63.8343803168,63.7966717137,63.8029564809,1200
2008-04-10,63.8783736871,63.9663604278,63.7526783434,63.9663604278,2300
2008-04-11,63.8846584543,64.0354928668,63.8846584543,64.0354928668,7600
2008-04-14,64.0543471684,64.0543471684,64.0543471684,64.0543471684,40496
2008-04-15,64.1234796074,64.1234796074,64.0103537981,64.1234796074,965
2008-04-16,64.1926120465,64.2743140199,64.1523895365,64.1800425121,8729
2008-04-17,63.9977842637,64.1926120465,63.9789299621,64.0983405387,18440
2008-04-18,63.8972279887,63.9600756606,63.7903869465,63.9600756606,12729
2008-04-21,63.9537908934,63.9537908934,63.8155260153,63.9537908934,4979
2008-04-22,63.87208892,63.87208892,63.7820910538,63.87208892,6390
2008-04-23,63.7966717137,63.8469498512,63.7275392747,63.7966717137,12718
2008-04-24,63.7338240418,63.8155260153,63.6521220684,63.7589631106,11870
2008-04-25,63.6646916028,63.6646916028,63.5389962591,63.6646916028,6805
2008-04-28,63.5389962591,63.570420095,63.4248648869,63.570420095,2362
2008-04-29,63.5389962591,63.7024002059,63.4824333544,63.5754479087,4749
2008-04-30,63.7841021793,63.9789299621,63.6503623336,63.9789299621,8743
2008-05-01,63.9125972531,64.1145926222,63.9014875078,64.0830308458,4535
2008-05-02,64.3229003466,64.3481497678,64.3165879913,64.3481497678,7105
2008-05-05,64.0956555564,64.3418374125,64.0956555564,64.3229003466,12229
2008-05-06,64.2092779515,64.2345273726,64.1657227,64.2345273726,5819
2008-05-07,64.2534644385,64.3355250572,64.06409378,64.1272173328,31800
2008-05-08,64.1398420434,64.1714038198,64.0262196483,64.1398420434,9429
2008-05-09,64.1714038198,64.1714038198,64.0704061352,64.1587791092,2313
2008-05-12,64.1966532409,64.1966532409,63.8052872133,64.0704061352,11999
2008-05-13,64.0704061352,64.0830308458,63.9903654702,64.019907293,27094
2008-05-14,63.843161345,63.9694084507,63.843161345,63.887347832,2772
2008-05-15,63.9630960954,64.2724015043,63.9125972531,64.0956555564,11934
2008-05-16,64.1714038198,64.310275636,64.15612792,64.310275636,8456
2008-05-19,64.2913385702,64.3229003466,64.2913385702,64.3229003466,14933
2008-05-20,64.4175856759,64.4365227417,64.2973984313,64.4175856759,5757
2008-05-21,64.4680845182,64.4743968734,64.3480866442,64.4302103865,7574
2008-05-22,64.3229003466,64.3229003466,64.2092779515,64.2345273726,3267
2008-05-23,64.2597767938,64.3418374125,64.1966532409,64.3418374125,10185
2008-05-27,64.2597767938,64.2787138596,64.231371195,64.2660891491,11125
2008-05-28,64.1966532409,64.2787138596,64.1777161751,64.1966532409,7965
2008-05-29,63.9883455166,64.0514690694,63.8557860556,63.9946578718,4918
2008-05-30,64.0830308458,64.0830308458,63.8179119239,64.0451567141,12219
2008-06-02,64.1267532232,64.1457762886,64.0443199402,64.1457762886,2615
2008-06-03,64.2916197894,64.2916197894,64.0570653939,64.2535736588,3120
2008-06-04,64.2789377459,64.3486889854,64.1584583321,64.2789377459,2768
2008-06-05,64.1457762886,64.1711403757,64.1457762886,64.1584583321,12753
2008-06-06,64.190163441,64.2218685499,64.1687307874,64.2218685499,3209
2008-06-09,64.1838224192,64.2218685499,64.1762131931,64.2218685499,6123
2008-06-10,64.0443199402,64.0887070926,63.6384945465,63.9111584829,11082
2008-06-11,63.6321535247,63.9428635917,63.5750843287,63.9428635917,10313
2008-06-12,63.6955637425,63.6955637425,63.3658306101,63.5972779049,7268
2008-06-13,63.4102177625,63.511674111,63.3277844794,63.511674111,4630
2008-06-16,63.511674111,63.5243561545,63.3290526838,63.3290526838,3495
2008-06-17,63.4736279803,63.4926510456,63.1312128044,63.4926510456,21877
2008-06-18,63.454604915,63.454604915,63.1375538262,63.4102177625,5010
2008-06-19,63.2199871092,63.340466523,63.1820043888,63.340466523,5213
2008-06-20,63.2199871092,63.3214434577,63.1879015391,63.3151024359,1157
2008-06-23,63.2136460875,63.2136460875,63.0741436084,63.2136460875,4253
2008-06-24,63.1375538262,63.169258935,63.0170744124,63.1565768915,5721
2008-06-25,63.1375538262,63.1882820004,63.0576569518,63.1882820004,2064
2008-06-26,63.0551205431,63.0551205431,62.9663462382,63.0424384995,5569
2008-06-27,62.7761155849,62.8395258027,62.5414977792,62.6746592365,4093
2008-06-30,62.5985669752,62.7824566067,62.4400414308,62.7761155849,37818
2008-07-01,62.5271667274,62.5271667274,62.3553013602,62.4444167358,15924
2008-07-02,62.5271667274,62.6481090228,62.5144359594,62.609916719,9022
2008-07-03,62.5335321114,62.5589936472,62.2725513686,62.5589936472,10470
