date,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2010-08-05,45.6200652204,45.683831286,45.5927369066,45.6473935343,4600
2010-08-06,45.7749256655,45.8022539793,45.7111595999,45.745775464,9843
2010-08-09,45.7840351034,45.7840351034,45.6291746584,45.7202690378,23237
2010-08-10,45.7111595999,46.002661614,45.692940724,45.9844427382,21906
2010-08-11,46.0390993658,46.0664276797,45.9662238623,45.9844427382,22395
2010-08-12,46.002661614,46.002661614,45.6565029722,45.7020501619,103996
2010-08-13,45.7567067896,45.9206766726,45.7111595999,45.856910607,129721
2010-08-16,46.1210843073,46.1210843073,45.9662238623,46.0008397265,60234
2010-08-17,45.9480049864,45.9662238623,45.8286713493,45.8751294828,81268
2010-08-18,45.9753333002,45.9780661316,45.8204728552,45.8204728552,27981
2010-08-19,45.8204728552,45.9480049864,45.8022539793,45.8751294828,16844
2010-08-20,45.8933483587,45.8933483587,45.7749256655,45.7749256655,19723
2010-08-23,45.7384879137,45.856910607,45.6565029722,45.856910607,15579
2010-08-24,46.0482088038,47.5057188747,45.8842389208,45.9844427382,26236
2010-08-25,46.1028654314,46.1028654314,45.9115672346,45.9789770754,34502
2010-08-26,46.0846465555,46.2577258765,46.0482088038,46.2577258765,15242
2010-08-27,46.2577258765,46.2577258765,45.9297861105,45.9297861105,48200
2010-08-30,46.1393031832,46.1848503729,46.0509416351,46.1393031832,25377
2010-08-31,46.3032730662,46.3032730662,46.1939598109,46.2395070006,20848
2010-09-01,46.1028654314,46.1028654314,45.8204728552,46.0646057921,35471
2010-09-02,46.0208804899,46.0363665344,45.9115672346,45.9817099068,12331
2010-09-03,45.856910607,45.9480049864,45.8386917311,45.902548891,13278
2010-09-07,46.1301937453,46.2121786867,46.0573182417,46.2121786867,17702
2010-09-08,46.166631497,46.166631497,46.011771052,46.0755371176,17337
2010-09-09,46.0208804899,46.0208804899,45.8660200449,45.9179438412,23444
2010-09-10,45.9662238623,46.0573182417,45.9480049864,45.9534706492,15490
2010-09-13,45.9844427382,46.2486164385,45.9844427382,46.2121786867,10201
2010-09-14,46.3488202559,46.3488202559,46.2759447523,46.3032730662,26665
2010-09-15,46.2121786867,46.2668353144,46.0937559935,46.1210843073,21648
2010-09-16,46.0482088038,46.0482088038,45.8751294828,45.9662238623,26779
2010-09-17,46.002661614,46.0573182417,45.9206766726,45.9388955484,11179
2010-09-20,46.0299899279,46.1484126211,45.9935521761,46.1028654314,24033
2010-09-21,46.2577258765,46.7131977736,46.2030692488,46.6858694598,47277
2010-09-22,46.9409337222,46.9864809119,46.8042921531,46.8133104966,15041
2010-09-23,46.8771676566,46.8771676566,46.6476098204,46.7587449633,14707
2010-09-24,46.6312128321,46.7040883357,46.5401184527,46.5437622279,24153
2010-09-27,46.5765562045,46.7040883357,46.5492278906,46.6767600219,16515
2010-09-28,46.8042921531,47.0684658534,46.7769638392,46.9591525981,17068
2010-09-29,46.9591525981,46.9591525981,46.7405260875,46.7860732772,19455
2010-09-30,46.7405260875,46.8644144435,46.4581335112,46.7040883357,25338
2010-10-01,46.6679074093,46.7745092283,46.631462343,46.7499088085,15382
2010-10-04,46.8136876746,46.8136876746,46.740797542,46.7863538749,39605
2010-10-05,46.8865778072,47.0596918722,46.8592440075,47.0232468059,21532
2010-10-06,47.5425890008,47.8223048847,47.4879214013,47.4879214013,44226
2010-10-07,47.5425890008,47.5425890008,47.3330298695,47.4059200021,24425
2010-10-08,47.5972566002,47.6519241997,47.5425890008,47.6245904,29275
2010-10-11,47.7157030657,47.7157030657,47.5881453337,47.6154791334,11334
2010-10-12,47.6154791334,47.6519241997,47.4423650684,47.4696988682,57184
2010-10-13,47.4970326679,47.761259398600004,47.4970326679,47.7339255989,23727
2010-10-14,47.8523720644,48.0619311957,47.8341495313,47.9070396639,28123
2010-10-15,47.8341495313,47.8341495313,47.5608115339,47.6227681467,31601
2010-10-18,47.6792579994,47.7703706652,47.6610354663,47.688369266,17767
2010-10-19,47.515255201,47.8068157315,47.515255201,47.7977044649,17150
2010-10-20,47.7339255989,47.7977044649,47.6947471526,47.7703706652,10826
2010-10-21,47.7885931984,47.8496386844,47.7430368655,47.7703706652,12324
2010-10-22,47.6974805326,47.7977044649,47.6792579994,47.761259398600004,24610
2010-10-25,47.8797058641,47.9799297965,47.8797058641,47.925262197,36053
2010-10-26,47.8159269981,47.8159269981,47.6610354663,47.6701467329,15717
2010-10-27,47.5061439345,47.5334777342,47.3785862024,47.4150312687,19472
2010-10-28,47.4879214013,47.5963454736,47.4687877415,47.5425890008,7458
2010-10-29,47.688369266,47.7248143323,47.6337016665,47.7157030657,52936
2010-11-01,47.853186162,47.853186162,47.6617004704,47.7437657668,32336
2010-11-02,47.8714228945,47.9626065572,47.8258310632,47.8714228945,18636
2010-11-03,48.0537902198,48.0993820512,47.7072923017,47.8714228945,31997
2010-11-04,48.0993820512,48.1540922488,47.8258310632,47.853186162,27801
2010-11-05,47.7984759644,47.8349494295,47.7072923017,47.7346474005,55117
2010-11-08,47.8349494295,47.8349494295,47.6699070001,47.7255290343,25921
2010-11-09,47.7893575981,47.7893575981,47.3152025523,47.3316156116,47716
2010-11-10,47.3516760174,47.4702147788,47.0507699306,47.44285968,47541
2010-11-11,47.4975698776,47.5522800752,47.4610964126,47.543161709,24683
2010-11-12,47.3972678487,47.4875396747,47.0781250294,47.0781250294,72722
2010-11-15,46.9048760704,46.959586268,46.5036679547,46.5310230535,40427
2010-11-16,46.6404434487,46.7042720125,46.2574720655,46.5583781523,57369
2010-11-17,46.5857332511,46.6951536463,46.549259786,46.6003226371,9056
2010-11-18,46.6404434487,46.6586801812,46.4817838756,46.6586801812,14982
2010-11-19,46.6677985475,46.8045740414,46.6377079388,46.8045740414,33982
2010-11-22,46.9413495354,47.0142964656,46.859284239,47.0051780993,24685
2010-11-23,47.1693086921,47.1693086921,46.996059733,47.0234148318,32306
2010-11-24,46.8957577041,46.8957577041,46.6677985475,46.6769169137,24594
2010-11-26,46.8501658728,46.8957577041,46.7918083287,46.8866393378,8819
2010-11-29,47.0507699306,47.0507699306,46.9030523971,46.9687046342,20058
2010-11-30,46.9687046342,46.9687046342,46.9687046342,46.9687046342,28000
2010-12-01,46.6561379249,46.7200379377,46.5283378993,46.5648521923,42890
2010-12-02,46.5100807528,46.7017807912,46.482695033,46.5465950458,17516
2010-12-03,46.6470093516,46.6470093516,46.4918236063,46.519209326,25868
2010-12-06,46.6652664982,46.7565522308,46.6369679211,46.7565522308,27790
2010-12-07,46.5831093388,46.6378807784,46.2453521283,46.3256835729,69304
2010-12-08,46.1084235294,46.1266806759,45.8163091851,45.8984663444,38213
2010-12-09,45.9258520642,45.9258520642,45.7158948793,45.8135706131,29462
2010-12-10,45.7158948793,45.7615377456,45.5972234269,45.6611234397,22137
2010-12-13,45.5789662804,45.8893377712,45.5515805606,45.7797948921,36284
2010-12-14,45.6611234397,45.6976377327,45.2868519361,45.4511662548,35428
2010-12-15,45.5880948536,45.6793805862,45.4876805478,45.5241948408,19401
2010-12-16,45.5880948536,45.7980520386,45.5123276956,45.7980520386,24332
2010-12-17,45.8436949049,46.0992949561,45.835479189,46.0262663701,12142
2010-12-20,46.1084235294,46.1540663957,45.916723491,45.9714949305,18501
2010-12-21,46.0901663829,46.1084235294,45.9258520642,46.0536520898,93762
2010-12-22,46.0627806631,46.0719092364,45.9304163508,46.0445235166,28619
2010-12-23,46.0171377968,46.0171377968,45.916723491,46.0080092235,11878
2010-12-27,45.9075949177,46.0353949433,45.8254377584,46.0353949433,23709
2010-12-28,45.9349806375,45.9349806375,45.6246091467,45.6519948665,19297
2010-12-29,45.6764085792,46.0485867232,45.6306864485,45.9690302157,32938
2010-12-30,45.9507413634,45.9507413634,45.8090027582,45.9415969373,22974
2010-12-31,46.0787633294,46.179352017,45.9699446583,46.179352017,29648
2011-01-03,46.0330411987,46.1848386727,45.9461691504,46.0696189033,30833
2011-01-04,46.0787633294,46.2250741477,46.051330051,46.1939830988,30910
2011-01-05,46.1061966079,46.179352017,45.859297102,46.0056079203,17416
2011-01-06,46.0238967726,46.1418598698,45.9415969373,46.0879077556,53843
2011-01-07,46.2342185738,46.4070482279,46.1766086892,46.2707962784,25954
2011-01-10,46.3988182444,46.435395949,46.3165184091,46.3896738183,26017
2011-01-11,46.4262515228,46.4628292274,46.2982295568,46.4390537194,15392
2011-01-12,46.2890851307,46.435395949,46.2397052295,46.3805293921,28570
2011-01-13,46.307373983,46.5085513581,46.2945717864,46.4811180797,35398
2011-01-14,46.5725623411,46.5725623411,46.3439516876,46.371384966,28856
2011-01-18,46.243363,46.3805293921,46.1427743124,46.371384966,57315
2011-01-19,46.371384966,46.4445403751,46.3439516876,46.3988182444,30639
2011-01-20,46.2159297216,46.2159297216,45.9223936424,45.9598857896,30130
2011-01-21,45.9050192327,46.0330411987,45.8867303805,46.0056079203,15289
2011-01-24,46.0970521817,46.0970521817,45.9781746419,45.9781746419,39106
2011-01-25,46.0604744771,46.2250741477,45.9690302157,46.1427743124,37396
2011-01-26,46.0879077556,46.1061966079,45.9507413634,46.0056079203,35294
2011-01-27,46.0421856249,46.051330051,45.9150781015,46.0147523464,31788
