date,open,close,high,low,volume,adjClose
2002-07-30,81.75,81.52,81.9,81.52,6100,45.9600055842
2002-07-31,81.95,82.53,82.8,81.9,29400,46.5294315612
2002-08-01,82.54,83.0,83.02,82.54,25000,46.7944119663
2002-08-02,83.16,83.85,84.1,82.88,52800,47.2736318479
2002-08-05,83.85,83.85,83.85,83.85,61100,47.2736318479
2002-08-06,83.8,83.5,83.9,83.22,64900,47.0763060143
2002-08-07,83.6,83.7,84.14,83.36,40300,47.1890636335
2002-08-08,83.58,83.7,83.77,83.36,40900,47.1890636335
2002-08-09,84.0,84.88,84.88,84.0,35900,47.8543335867
2002-08-12,85.3,85.4,86.7,85.14,32100,48.1475033966
2002-08-13,85.78,86.45,86.47,85.37,74300,48.7394808974
2002-08-14,87.46,86.78,87.9,86.75,130000,48.9255309691
2002-08-15,86.38,86.02,86.5,85.85,87100,48.4970520162
2002-08-16,86.44,85.06,86.52,84.82,85000,47.955815444
2002-08-19,85.05,85.32,85.34,84.71,47300,48.102400349
2002-08-20,85.62,86.27,86.29,85.6,40800,48.6379990401
2002-08-21,85.68,85.81,86.1,85.63,40000,48.378656516
2002-08-22,85.55,85.06,85.55,85.06,34400,47.955815444
2002-08-23,85.2,85.9,85.95,85.2,20100,48.4293974446
2002-08-26,85.7,85.98,86.21,85.67,23900,48.4745004923
2002-08-27,85.4,85.44,85.68,85.2,301800,48.1700549205
2002-08-28,86.04,85.87,86.18,85.84,18100,48.4124838018
2002-08-29,86.76,86.56,86.86,86.35,135700,48.801497588
2002-08-30,86.75,87.08,87.13,86.45,78100,49.0946673979
2002-09-03,87.08,88.04,88.04,87.0,102100,49.8459714146
2002-09-04,88.03,88.02,88.3,87.84,66300,49.8346479318
2002-09-05,88.57,88.5,88.65,87.38,648400,50.1064115197
2002-09-06,87.97,87.46,88.19,87.2,140000,49.5175904125
2002-09-09,87.5,87.33,87.83,87.26,83800,49.4439877742
2002-09-10,87.17,87.75,88.0,87.0,336000,49.6817809136
2002-09-11,87.0,87.29,87.3,86.75,177700,49.4213408085
2002-09-12,87.48,87.97,88.14,87.47,43400,49.8063392247
2002-09-13,88.33,88.78,88.94,88.18,155100,50.2649402793
2002-09-16,89.2,88.93,89.22,88.9,73000,50.3498664005
2002-09-17,88.64,89.1,89.32,88.36,75400,50.4461160045
2002-09-18,89.46,89.12,89.56,89.02,196600,50.4574394874
2002-09-19,89.7,89.72,89.77,89.26,109900,50.7971439723
2002-09-20,89.45,89.3,89.52,89.06,113500,50.5593508328
2002-09-23,90.0,90.1,90.24,89.77,163200,51.012290146
2002-09-24,90.3,90.68,90.94,90.21,251900,51.3406711481
2002-09-25,90.1,89.58,90.36,89.26,127200,50.7178795924
2002-09-26,89.05,89.37,89.53,88.61,428600,50.5989830227
2002-09-27,89.53,90.04,90.04,89.48,298200,50.9783196975
2002-09-30,90.66,90.4,90.9,90.08,297800,51.1821423885
2002-10-01,89.16,88.94,89.3,88.8,257500,50.5495577187
2002-10-02,89.24,89.45,89.48,88.84,91000,50.8394191358
2002-10-03,89.3,89.23,89.51,88.8,29900,50.7143808775
2002-10-04,88.4,89.51,89.72,88.4,131000,50.873520479
2002-10-07,89.9,89.66,89.96,89.46,433800,50.958773837
2002-10-08,89.5,89.69,90.52,89.32,530900,50.9758245086
2002-10-09,90.3,90.15,90.38,89.95,402900,51.2372681397
2002-10-10,90.17,89.44,90.17,89.28,97100,50.8337355786
2002-10-11,89.1,88.38,89.22,88.06,421800,50.2312785156
2002-10-14,88.5,88.25,88.55,88.07,18300,50.1573922721
2002-10-15,87.0,86.16,87.3,86.15,297100,48.9695288177
2002-10-16,86.6,86.2,86.6,85.89,125200,48.9922630465
2002-10-17,85.14,85.15,85.56,85.07,233400,48.3954895407
2002-10-18,85.02,85.37,85.39,84.28,459100,48.520527799
2002-10-21,85.5,84.54,85.6,84.5,134900,48.0487925516
2002-10-22,84.85,84.3,84.85,84.22,215800,47.9123871789
2002-10-23,84.75,84.33,85.2,84.18,127900,47.9294378505
2002-10-24,84.16,85.07,85.25,84.08,339600,48.3500210831
2002-10-25,85.35,85.38,85.56,85.15,146100,48.5262113562
2002-10-28,85.56,85.26,85.64,85.2,97800,48.4580086699
2002-10-29,85.82,86.37,86.89,85.77,125000,49.0888835188
2002-10-30,86.37,86.34,86.68,86.07,31900,49.0718328472
2002-10-31,86.05,86.73,86.86,86.02,512700,49.293491578
2002-11-01,86.3,85.98,86.93,85.25,125100,49.088227068
2002-11-04,85.48,85.6,85.75,85.25,342500,48.8712751456
2002-11-05,85.6,85.27,85.6,85.09,73800,48.6828695288
2002-11-06,85.05,85.61,86.13,84.91,118500,48.8769844067
2002-11-07,87.05,87.73,87.73,86.85,147900,50.0873477631
2002-11-08,88.4,88.44,88.65,87.95,294700,50.4927053023
2002-11-11,88.55,88.92,88.92,88.4,70000,50.7667498358
2002-11-12,89.15,88.41,89.15,88.37,494300,50.475577519
2002-11-13,88.45,88.6,88.69,87.96,104700,50.5840534801
2002-11-14,87.65,86.76,87.65,86.76,118000,49.533549435
2002-11-15,86.54,87.11,87.23,86.26,110700,49.733373574
2002-11-18,87.02,87.5,87.63,86.96,32200,49.9560347575
2002-11-19,87.95,87.82,88.23,87.51,51800,50.1387311132
2002-11-20,88.2,86.96,88.22,86.81,307400,49.6477346573
