date,adjOpen,adjHigh,adjLow,adjClose,adjVolume
2006-08-25,40.5831390368,40.607176434,40.5831390368,40.5991639683,3400
2006-08-28,40.8956252011,40.9917747902,40.8956252011,40.9436999956,500
2006-08-29,40.9677373929,41.1279867079,40.8074880778,41.0879243792,17600
2006-08-30,41.0959368449,41.192086434,41.0478620504,41.192086434,4400
2006-08-31,41.1840739682,41.3443232833,41.1840739682,41.3443232833,5500
2006-09-01,41.4084230093,41.5205975298,41.4084230093,41.4965601326,1200
2006-09-05,41.4965601326,41.5045725983,41.384385612,41.4564978038,4900
2006-09-06,41.2641986257,41.2641986257,40.9837623244,40.9837623244,26400
2006-09-07,40.9837623244,40.9837623244,40.7433883518,40.9116501326,13100
2006-09-08,40.9116501326,41.0318371189,40.9116501326,41.0318371189,500
2006-09-11,40.9917747902,41.0238246532,40.8555628724,40.9597249271,3300
2006-09-12,41.0638869819,44.2288109542,40.8235130094,41.4965601326,11500
2006-09-13,41.6487969819,41.7850088997,41.6487969819,41.752959036600004,3200
2006-09-14,41.6247595846,41.6968717764,41.5526473928,41.6247595846,10400
2006-09-15,41.8250712284,41.9132083517,41.752959036600004,41.8571210914,6000
2006-09-18,41.7850088997,41.8410961599,41.7048842421,41.7048842421,4600
2006-09-19,41.7048842421,41.7209091736,41.4645102696,41.5766847901,5700
2006-09-20,41.8571210914,41.8811584887,41.8090462969,41.8090462969,12700
2006-09-21,41.6648219134,41.752959036600004,41.4725227353,41.4885476668,7100
2006-09-22,41.3603482148,41.3923980778,41.1840739682,41.384385612,3800
2006-09-25,41.4244479408,41.6808468449,41.2641986257,41.6808468449,2800
2006-09-26,41.6487969819,41.9532706805,41.6487969819,41.9452582147,10300
2006-09-27,41.9532706805,42.065445201,41.9532706805,41.9933330092,16500
2006-09-28,42.1375573928,42.1375573928,41.937245749,42.0574327352,11900
2006-09-29,42.129544927,42.129544927,41.8811584887,41.8811584887,26300
2006-10-02,41.9051958859,42.0253828722,41.8010338312,41.8010338312,5100
2006-10-03,41.752959036600004,42.033395338,41.752959036600004,41.8330836942,39000
2006-10-04,41.8571210914,42.3218441051,41.8571210914,42.3218441051,6100
2006-10-05,42.4580560229,42.5702305434,42.3538939681,42.5141432831,19800
2006-10-06,42.3138316393,42.4820934201,42.3138316393,42.4179936941,13800
2006-10-09,42.3699188996,42.6984299955,42.3699188996,42.6343302694,4300
2006-10-10,42.7224673927,42.778554653,42.6824050639,42.778554653,3100
2006-10-11,42.6343302694,42.8186169817,42.6343302694,42.7064424612,33100
2006-10-12,42.8666917763,43.1150782146,42.8666917763,43.1150782146,8600
2006-10-13,43.1551405433,43.2913524611,43.1070657488,43.2673150639,17300
2006-10-16,43.3875020502,43.5717887625,43.3875020502,43.5397388995,16500
2006-10-17,43.3955145159,43.4115394474,43.2352652009,43.3554521872,17100
2006-10-18,43.6278760228,43.6278760228,43.3875020502,43.3875020502,16500
2006-10-19,43.3234023242,43.4516017762,43.3153097337,43.4035269817,14600
2006-10-20,43.3474397214,43.3474397214,43.2192402694,43.2352652009,18600
2006-10-23,43.2272527351,43.4996765707,43.2272527351,43.4275643789,14400
2006-10-24,43.4355768447,43.555763831,43.4195519132,43.5317264337,17300
2006-10-25,43.6118510912,43.7640879405,43.6118510912,43.7400505433,5900
2006-10-26,43.8041502693,43.9724120501,43.6599258858,43.9724120501,9700
2006-10-27,43.7961378036,43.9002998583,43.5798012282,43.5798012282,11300
2006-10-30,43.6439009543,43.748063009,43.4836516392,43.65191342,22400
2006-10-31,43.8121627351,43.9563871186,43.5717887625,43.7240256118,14600
2006-11-01,43.8121627351,43.8121627351,43.3955145159,43.4516017762,18300
2006-11-02,43.3153898584,43.3634646529,43.2832598707,43.3073773926,16700
2006-11-03,43.5157015022,43.523713968,43.1791779406,43.3073773926,16400
2006-11-06,43.491664105,43.7721004063,43.491664105,43.6929372447,23800
2006-11-07,43.7240256118,43.8922873926,43.6919757488,43.7400505433,19300
2006-11-08,43.6679383515,44.0044619131,43.6679383515,43.9083123241,24500
2006-11-09,43.9643995844,44.0445242419,43.8281876666,43.8281876666,18300
2006-11-10,43.9163247898,44.0445242419,43.8842749268,44.0284993104,19300
2006-11-13,44.0445242419,44.2127860227,44.0204868446,44.1246488994,32700
2006-11-14,44.2368234199,44.4771973925,44.0925990364,44.4771973925,27900
2006-11-15,44.55732205,44.7015464336,44.5412971185,44.6053968446,16300
2006-11-16,44.7736586254,44.8217334199,44.7335161719,44.7335962966,7000
2006-11-17,44.6454591733,44.7496212281,44.5893719131,44.7496212281,7700
2006-11-20,44.9018580774,45.0380699952,44.8858331459,44.9178830089,14400
2006-11-21,44.9899952007,45.1342195842,44.9899952007,45.1262071185,14400
2006-11-22,45.2864564335,45.334531228,45.1822943788,45.270431502,10400
2006-11-24,45.1662694472,45.3265187623,45.1262071185,45.3265187623,5200
2006-11-27,45.1822943788,45.1822943788,44.5893719131,44.5893719131,16700
2006-11-28,44.4050852008,44.6935339678,44.4050852008,44.6454591733,9700
2006-11-29,44.8617957486,45.1502445157,44.8617957486,45.1502445157,7500
2006-11-30,45.2463941048,45.5268304061,45.1423121746,45.445904502,5000
2006-12-01,45.4226683513,45.4226683513,45.0701198582,45.3745935568,25800
2006-12-04,45.5268304061,45.7832293102,45.5027930089,45.7832293102,19300
2006-12-05,45.8072667075,45.9274536937,45.7912417759,45.887391365,21100
2006-12-06,45.8954038307,45.983540954,45.8473290362,45.9274536937,3900
2006-12-07,46.0236032828,46.0236032828,45.7672043787,45.7672043787,35300
2006-12-08,45.7992542417,45.8793788992,45.6726572828,45.7752168444,4700
2006-12-11,45.7511794472,45.8393165705,45.7191295842,45.8072667075,5300
