date,open,close,high,low,volume,adjClose
2001-05-31,114.5,114.8,115.5,114.5,2457200,42.3438819366
2001-06-01,115.1,115.6,115.9,114.4,2542200,42.6389612533
2001-06-04,116.1,116.1,116.2,115.3,1018200,42.8233858262
2001-06-05,116.4,117.8,118.0,116.4,562400,43.450429374
2001-06-06,117.5,116.8,117.8,116.7,278500,43.0815802282
2001-06-07,116.7,117.4,117.4,116.4,236700,43.3028897157
2001-06-08,117.0,116.4,117.0,115.5,169700,42.9340405699
2001-06-11,116.1,115.2,116.1,114.6,55700,42.491421595
2001-06-12,114.1,115.3,115.5,113.4,64600,42.5283065095
2001-06-13,115.2,114.2,115.6,114.2,108600,42.1225724492
2001-06-14,113.4,111.6,113.4,111.6,90900,41.1635646701
2001-06-15,110.9,111.3,112.0,110.4,533700,41.0529099264
2001-06-18,111.6,110.6,111.8,110.6,141300,40.7947155243
2001-06-19,112.3,110.9,112.3,110.5,888800,40.9053702681
2001-06-20,110.8,112.1,112.2,110.8,238000,41.347989243
2001-06-21,112.0,113.0,113.5,111.8,120200,41.6799534742
2001-06-22,112.9,112.3,112.9,111.8,90300,41.4217590722
2001-06-25,112.2,111.3,112.4,110.8,15200,41.1561876872
2001-06-26,110.1,111.0,111.6,110.1,73300,41.0452545667
2001-06-27,111.2,111.0,111.7,110.5,57000,41.0452545667
2001-06-28,111.8,112.4,113.4,111.8,178700,41.5629424622
2001-06-29,112.1,113.0,113.6,111.9,107500,41.7848087031
2001-07-02,112.6,113.3,113.9,112.6,145000,41.8957418235
2001-07-03,113.2,113.2,113.4,112.8,28400,41.8587641167
2001-07-05,112.9,112.0,112.9,112.0,313800,41.4150316349
2001-07-06,111.0,109.0,111.1,109.0,388500,40.3057004304
2001-07-09,109.4,109.7,110.2,109.3,425000,40.5645443781
2001-07-10,110.3,108.3,110.3,108.3,109000,40.0468564827
2001-07-11,108.5,108.4,108.5,107.3,23600,40.0838341895
2001-07-12,109.5,111.0,111.1,109.4,32400,41.0452545667
2001-07-13,110.4,111.5,111.7,110.3,215000,41.2301431008
2001-07-16,111.6,110.2,111.6,110.1,23200,40.7494329122
2001-07-17,110.0,111.5,111.5,109.7,91700,41.2301431008
2001-07-18,110.6,110.3,111.1,109.9,27200,40.786410619
2001-07-19,111.8,111.0,112.2,110.5,9300,41.0452545667
2001-07-20,111.0,111.0,111.3,110.5,5800,41.0452545667
2001-07-23,111.3,109.1,111.4,109.1,26000,40.3426781372
2001-07-24,108.7,107.5,109.0,106.8,51200,39.7510348282
2001-07-25,107.7,108.9,108.9,107.5,259600,40.2687227236
2001-07-26,108.7,110.3,110.3,108.4,32500,40.786410619
2001-07-27,110.4,110.5,110.8,109.7,104000,40.8603660327
2001-07-30,110.8,110.4,110.8,109.9,12800,40.8233883258
2001-07-31,110.5,110.8,111.8,110.4,59600,40.9712991531
2001-08-01,111.2,111.3,111.9,111.0,118700,41.1561876872
2001-08-02,112.4,111.7,112.4,111.3,31100,41.3040985145
2001-08-03,111.6,111.3,111.6,110.5,8800,41.1561876872
2001-08-06,111.2,110.0,111.2,109.8,15200,40.6754774986
2001-08-07,109.9,110.2,110.3,109.8,14600,40.7494329122
2001-08-08,109.9,108.2,110.4,108.1,27200,40.0098787759
2001-08-09,108.1,108.5,108.5,107.6,28100,40.1208118963
2001-08-10,108.6,109.0,109.3,107.2,57100,40.3057004304
2001-08-13,109.2,109.2,109.5,108.7,17100,40.379655844
2001-08-14,109.6,108.9,109.9,108.7,19300,40.2687227236
2001-08-15,109.4,108.0,109.4,108.0,24900,39.9359233622
2001-08-16,107.9,108.3,108.3,107.1,21400,40.0468564827
2001-08-17,107.7,106.7,107.8,106.3,42300,39.4552131736
2001-08-20,106.7,106.7,106.7,106.7,35900,39.4552131736
2001-08-21,107.6,105.9,108.3,105.9,34900,39.1593915191
2001-08-22,106.6,106.9,107.2,105.7,163400,39.5291685873
2001-08-23,106.9,106.7,107.1,106.5,15500,39.4552131736
2001-08-24,107.0,108.7,108.7,106.8,26200,40.19476731
2001-08-27,108.7,108.7,108.7,108.7,37800,40.19476731
2001-08-28,108.2,106.5,108.2,106.5,30800,39.38125776
2001-08-29,107.0,105.5,107.0,105.3,45000,39.0114806918
2001-08-30,105.6,103.9,105.6,103.4,55900,38.4198373827
2001-08-31,104.2,104.4,105.1,103.8,34900,38.6047259168
2001-09-04,104.3,103.8,106.1,103.8,35800,38.3828596759
2001-09-05,103.9,103.7,104.1,102.5,22900,38.3458819691
2001-09-06,103.4,101.6,103.4,101.6,45300,37.569350126
2001-09-07,101.0,99.5,101.7,99.5,66600,36.7928182828
